driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
PIK3R1	TNS4	Endometrial	0.0	0.5045063314297608	-0.0463490599107743	-0.0311404596757177	0.0564852104887947	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	SHD	Endometrial	0.0111775650473473	0.2633789291319878	0.042439101275812	0.0096687167639653	0.0559723272678031	Novel	0.9541256752245454	0.25	7	21	False
CTNNB1	JUP	Endometrial	0.0024178745180905	0.022610971062968	0.1069336876933373	-0.069111239616751	0.0558998390640375	Novel	0.9438860613573398	0.1428571428571428	4	24	False
KRAS	DIRAS3	Endometrial	0.0	-0.189041818321657	0.1555173489201315	-0.0276015651112348	0.0545493975641536	Novel	0.5439365783225705	0.2142857142857142	6	22	False
PIK3CA	PIK3CD	Ovarian	0.0	-0.2220444568286619	0.2001614377253945	-0.0295247600044414	0.0536861246459186	Novel	0.6749795493611246	0.2181818181818181	12	43	False
KRAS	RAP1A	Ovarian	0.0132129358211618	0.0689056622608399	0.1917539921631519	0.0436240893847703	0.0532219928666834	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RASD2	Endometrial	0.0	-0.1932295819170737	0.1566959747645994	0.0277237826953433	0.05248902956265	Novel	0.6531546030225304	0.2142857142857142	6	22	False
KRAS	RAP2C	Ovarian	0.0	0.0337798777136626	-0.1358452100341912	0.0628620437045482	0.0509759496066729	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RALB	Ovarian	0.001269744226179	0.4267782890056404	0.0029751846775933	-0.0309089987216196	0.0505540054011045	Novel	0.3104051550658437	0.1454545454545454	8	47	False
KRAS	RASL10A	Endometrial	0.0	-0.2450482388095234	0.1805532516144716	0.012648839942871	0.0499920494443598	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	RIT2	Endometrial	0.0	-0.0077350895315197	-0.1197610398475584	-0.0032111906903065	0.0498049149439155	Novel	0.3080283748253804	0.2142857142857142	6	22	False
PIK3R1	SH2D7	Endometrial	0.0001238591244706	0.0037831698612108	0.0327395091985156	-0.0161659748477169	0.049637792033069	Novel	0.9541256752245454	0.25	7	21	False
PIK3R1	BLNK	Endometrial	0.0	0.479999163864524	-0.0204895730544154	0.0123522819247671	0.0490851855700284	Novel	0.8510492693176752	0.25	7	21	False
KRAS	RIT2	Ovarian	0.0	-0.0113654715686888	-0.1197610398475584	-0.0540866770674606	0.0472827629117863	Novel	0.9512867609152754	0.1454545454545454	8	47	False
PIK3R1	PIK3R3	Endometrial	0.0	0.4139593726537844	-0.0143193834099544	-0.010742708434357	0.0470151540203742	Novel	0.9541256752245454	0.25	7	21	False
KRAS	MRAS	Endometrial	0.0	-0.6366716445673326	-0.015696664219899	0.0146119110538799	0.0464015857370013	Novel	0.6531546030225304	0.2142857142857142	6	22	False
KRAS	NKIRAS2	Ovarian	0.0	0.0684427948908368	-0.060951679852704	-0.052650835958082	0.0462351959409587	Novel	0.9831295613656932	0.1454545454545454	8	47	False
KRAS	RAP2A	Endometrial	0.0	-0.4383532706822977	0.1526784498066791	0.0106013088812415	0.0448813850737042	Novel	0.6341415356073031	0.2142857142857142	6	22	False
PIK3R1	SH2D1B	Endometrial	0.0	-0.0047184103835236	0.0026388562429586	-0.004872714863987	0.0442898942638992	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RAP1A	Endometrial	0.0	-0.1764080545240141	0.1917539921631519	-0.0078187131106521	0.0432477102258087	Novel	0.6531546030225304	0.2142857142857142	6	22	False
NF1	RASA1	Ovarian	0.0	-0.054396283238725	-0.04019477479329	-0.0696771784534565	0.042502611179917	Novel	0.8129437433627007	0.0727272727272727	4	51	False
KRAS	RASL12	Endometrial	0.0	-0.2860172145966622	0.0783972396905899	0.0066292478572583	0.0421059631407223	Novel	0.6872962539375117	0.2142857142857142	6	22	False
PIK3R1	SH2D6	Endometrial	0.0	0.0374779202916643	-0.0447625992083148	0.0	0.0420276407257297	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RAP1B	Endometrial	0.0	-0.330145416721213	0.4250483568832675	0.0030520230111058	0.0413764808987054	Novel	0.6341415356073031	0.2142857142857142	6	22	False
KRAS	RHEB	Ovarian	0.0	-0.1941401725891616	0.4410176905810971	-0.03947451509617	0.0404987798463768	Novel	0.9512867609152754	0.1454545454545454	8	47	False
