driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	cohens_d	hedges_g	dd_p_value	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
TP53	TP73	Ovarian	0.0197888215345761	0.2959399071712487	0.0668677020403509	-0.0811102363738426	-0.5401610437805282	-0.5324810289400468	0.0963717850214433	0.2135031677391999	Novel	0.1257634288854291	0.7272727272727273	40	15	False
KMT2D	KMT2C	Endometrial	0.0	0.762071667382326	-0.0122500470840633	0.1029746359526108	0.4442020084953226	0.4312640859177889	0.2535735380163018	0.2035397866106931	Novel	0.0055734954957627	0.5	14	14	False
TP53	TP63	Endometrial	0.030193167662851	0.3577043843736477	0.0844081565165054	0.0391466895450513	0.2087474612820301	0.2026674381378932	0.5792782222840033	0.1975941459529931	Novel	0.2620533928706717	0.75	21	7	False
PTEN	TNS2	Endometrial	0.0	-1.0705646229602377	0.2387654694919845	-0.0902732131950828	-0.6441228262168126	-0.625361967200789	0.1060049308711692	0.1959438829996965	Novel	0.031090108790086	0.6071428571428571	17	11	False
TP53	TP63	Ovarian	0.0232016064328753	0.2748739860032178	0.0844081565165054	-0.0297040142271059	-0.244931809774144	-0.2414493669811467	0.4319143698814845	0.1925239061268563	Novel	0.1257634288854291	0.7272727272727273	40	15	False
KRAS	RASL10B	Ovarian	0.0	-1.1784414928398264	0.1229310094235446	0.0080838488294139	0.0643164309823692	0.0634019793570274	0.8809048266437575	0.1718974925568361	Novel	1.127298162678775e-05	0.1454545454545454	8	47	False
KRAS	RHEB	Endometrial	0.0568391354938332	0.1288817585048356	0.4410176905810971	-0.1594423727971457	-0.5984198749685005	-0.5809901698723305	0.1779803973878096	0.1592370241005855	Novel	0.6531546030225304	0.2142857142857142	6	22	False
KRAS	RASL10B	Endometrial	0.0	-1.594767087906702	0.1229310094235446	0.1134120426600401	1.1627717184251098	1.1289045809952525	0.011983481400703	0.1577475795948857	Novel	0.0037524159459778	0.2142857142857142	6	22	False
KRAS	RAP1B	Ovarian	0.0874555574810553	0.2057543713904381	0.4250483568832675	0.1283202438006263	0.6450812497577698	0.6359094784341996	0.0746143062508615	0.1518468587246884	Novel	0.9831295613656932	0.1454545454545454	8	47	False
TP53	TP73	Endometrial	0.0	-0.1824344729388316	0.0668677020403509	-0.0094298171278922	-0.0473380390489603	-0.0459592612125828	0.9141608150876684	0.1436918544936745	Novel	0.791633616039675	0.75	21	7	False
PTEN	TNS1	Endometrial	0.0	-0.3737291268412437	-0.0462761245258636	0.026316142706401	0.2043055787159423	0.198354930792177	0.600636371357359	0.1323998343290428	Novel	0.4061007188219288	0.6071428571428571	17	11	False
STK11	SIK2	Cervical	0.0	0.3359015768044808	-0.0121786808008552	-0.1106938448403456	-0.8467498607038478	-0.8005635046654561	0.1882093738402818	0.1224185136790545	Novel	0.5409737799092611	0.375	6	10	False
PIK3CA	PIK3CG	Endometrial	0.0	-0.3656620272583067	0.0427573502560342	-0.0376356793680017	-0.3952360810891026	-0.3837243505719443	0.3057359449157245	0.1222748465886182	Novel	0.4522524644122372	0.5357142857142857	15	13	False
PIK3R1	CRK	Endometrial	0.0739600134988904	0.364735837336501	0.2027769303915585	0.0080507822553311	0.0306717964483592	0.0297784431537468	0.9501000326407294	0.1180943298165347	Novel	0.3646272941325647	0.25	7	21	False
KRAS	RRAS2	Ovarian	0.006266075374453	0.0814155014278359	0.0769641562670606	-0.1998681319662348	-1.5011792196259026	-1.4798354392520745	1.6923321605821552e-06	0.1163811560972081	Novel	0.9831295613656932	0.1454545454545454	8	47	False
