component,delta
pcs_minus_dd,0.07799999999999996
pcs_minus_dd,0.19468675654242673
pcs_minus_dd,0.1254125412541255
pcs_minus_dd,0.4564732142857143
pcs_minus_dd,0.4334935897435898
pcs_minus_dd,-0.04086538461538469
pcs_minus_dd,0.06500000000000006
pcs_minus_dd,0.3346550356859635
pcs_minus_dd,0.30651872399445224
pcs_minus_dd,0.35049019607843135
pcs_minus_dd,-0.116745283018868
pcs_minus_dd,0.17800000000000005
pcs_minus_dd,-0.05400000000000005
pcs_minus_dd,0.11084905660377353
pcs_minus_dd,-0.0040000000000000036
pcs_minus_dd,0.2665094339622641
pcs_minus_dd,0.022435897435897356
pcs_minus_dd,0.14789849325931803
pcs_minus_dd,0.34481175390266294
pcs_minus_dd,0.1339563862928349
pcs_minus_dd,0.28316326530612246
pcs_minus_dd,0.15808823529411764
pcs_minus_dd,0.31414701803051315
pcs_minus_dd,0.11054421768707479
pcs_minus_dd,0.0665
pcs_minus_dd,0.21799999999999997
pcs_minus_dd,-0.005499999999999949
pcs_minus_dd,0.3701923076923076
pcs_minus_dd,0.06882440476190477
pcs_minus_dd,0.024202420242024236
pcs_minus_dd,0.07805325987144174
pcs_minus_dd,0.25632563256325636
pcs_minus_dd,-0.07529843893480248
pcs_minus_dd,0.031862745098039214
pcs_minus_dd,0.16253443526170797
pcs_minus_dd,0.49221183800623053
pcs_minus_dd,0.19999999999999996
pcs_minus_dd,0.13131313131313138
pcs_minus_dd,0.05599999999999994
pcs_minus_dd,0.15401540154015403
pcs_minus_dd,0.23231622746185854
pcs_minus_dd,0.28525641025641024
pcs_minus_dd,0.4521452145214522
pcs_minus_dd,-0.03120665742024964
pcs_minus_dd,0.25080128205128205
pcs_minus_dd,-0.03205128205128205
pcs_minus_dd,0.08080808080808077
pcs_minus_dd,0.36084905660377364
pcs_minus_dd,0.6061320754716981
pcs_minus_dd,0.30947368421052635
pcs_minus_dd,0.03489439853076215
pcs_minus_dd,0.058252427184466105
pcs_minus_dd,0.17708333333333337
pcs_minus_dd,0.03799999999999992
pcs_minus_dd,0.21000000000000008
pcs_minus_dd,0.12993572084481175
pcs_minus_dd,0.5518867924528301
pcs_minus_dd,0.39880952380952384
pcs_minus_dd,0.22250000000000003
pcs_minus_dd,0.01320132013201325
pcs_minus_dd,0.2892156862745098
pcs_minus_dd,0.017156862745097978
pcs_minus_dd,0.09900990099009899
pcs_minus_dd,0.13176144244105403
pcs_minus_dd,0.15264797507788164
pcs_minus_dd,-0.0971428571428572
