driver_gene,paralog_gene,cancer_type,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,composite_score,novelty,q_value,mutation_frequency,n_mut,n_wt,is_known_paralog_sl
BRCA1,BARD1,Ovarian,0.0,-0.13328802426776098,0.5766790941296286,-0.19499085555491447,-0.5538405019970348,-0.5459659924899679,0.3588615187015073,0.10360925320351029,Novel,0.649755893614936,0.09090909090909091,5,50,False
KRAS,ERAS,Endometrial,0.0,-0.029465878061844405,-0.09870162113310209,0.145904148382284,1.2802562058545528,1.2429671901500512,0.0055261836441162695,0.10304098137039319,Novel,0.7503202350122962,0.21428571428571427,6,22,False
PIK3CA,PIK3CD,Endometrial,0.0,-0.09289528717470441,0.20016143772539455,-0.01100094877024857,-0.07743811654518407,-0.0751826374225088,0.8374715620688552,0.10209863144146894,Novel,0.8182441999104925,0.5357142857142857,15,13,False
KRAS,RASL11A,Endometrial,0.0,-0.7741320457050552,0.056617907613396974,0.04452998345024002,0.3645503924897169,0.353932419892929,0.3900116334288437,0.0995491695759115,Novel,0.02746000971109072,0.21428571428571427,6,22,False
KRAS,HRAS,Ovarian,0.06901351817755928,0.37197814884465075,0.18553110818985608,-0.029302529237292207,-0.2532109471715269,-0.24961079152453838,0.46120940060601295,0.0992255641048484,Novel,0.498324665274842,0.14545454545454545,8,47,False
KRAS,DIRAS3,Lung,0.026898487279095346,0.1729613285326096,0.15551734892013153,0.017973234937083332,0.12854917459841514,0.12750969340220153,0.5483170539199306,0.09673136463470083,Novel,0.863926490274858,0.37894736842105264,36,59,False
KRAS,RAP1A,Lung,0.0,-0.3151561916075245,0.1917539921631519,0.0340161484623267,0.25265276182134827,0.25060974757481447,0.2384306567639962,0.09661035394685352,Novel,0.2727849162036635,0.37894736842105264,36,59,False
KRAS,DIRAS2,Lung,0.0,-0.25448634123927344,-0.0493003395841572,0.032065209075577666,0.2531278506743515,0.2510809947389794,0.23235524047418604,0.09412596482361865,Novel,0.3075144356352934,0.37894736842105264,36,59,False
FBXW7,FBXW4,Endometrial,0.011242371767831966,0.14526565573423778,0.0773918082082649,0.08167823401765074,0.5037833098148182,0.48911000952894973,0.20924795863601503,0.09385014051827444,Novel,0.931247735370951,0.2857142857142857,8,20,False
KRAS,RASL12,Ovarian,0.0,-0.5872491201170166,0.07839723969058991,0.056110569612969896,0.31049345500538494,0.30607885611905244,0.5007300246965706,0.09335590343971242,Novel,0.02379901993693636,0.14545454545454545,8,47,False
KRAS,RHEBL1,Lung,0.011658077389738014,0.28198900300358143,0.04134231216665548,-0.01380784296509148,-0.10967405865179822,-0.10878720642550335,0.6197000856387912,0.09238535926061472,Novel,0.38989144212074955,0.37894736842105264,36,59,False
KRAS,HRAS,Lung,0.0,-0.15799444953554875,0.18553110818985608,-0.04942711927021415,-0.2342510384618168,-0.2323568252127994,0.2493763518848481,0.09183638097447247,Novel,0.6746787088236335,0.37894736842105264,36,59,False
PIK3R1,SLA2,Endometrial,0.0,-0.0765470933330803,-0.09514365025127705,-0.05054557490137143,-0.6427374208478045,-0.6240169134444704,0.17063996310262597,0.08921382127003306,Novel,0.12638034422117528,0.25,7,21,False
PIK3R1,SH2D2A,Endometrial,0.0,-0.1457839020184475,-0.053469709806445546,0.10587133536638411,0.5875620363398726,0.5704485789707501,0.2410545548632696,0.08827074757767503,Novel,0.9541256752245454,0.25,7,21,False
KRAS,RASL11A,Lung,0.0,-0.20689246500955072,0.056617907613396974,0.031419252437138334,0.32425829215184027,0.321636257444413,0.12904927440774505,0.08476313150587694,Novel,0.6118682911131214,0.37894736842105264,36,59,False
