pair,gene_a,gene_b,hit_any_line,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
MED13|MED13L,MED13,MED13L,1,-0.14824942703808164,1.6631408605006899,-0.6449326126161727
MED18|MED20,MED18,MED20,0,0.45325940811029125,2.1956741947372143,1.3494963889414069
MED18|MED31,MED18,MED31,1,0.06817305001241203,0.4657412424077117,0.2686846517659539
MED23|THRAP3,MED23,THRAP3,1,-0.5698717994115285,-2.281513684293359,-1.294390899858008
MED26|MED8,MED8,MED26,1,0.29317526134871474,5.034922255877932,1.2994164211516877
MMD|MMD2,MMD,MMD2,0,-0.14142486472476018,-1.3577010019135733,-0.9168375744757187
MORF4L1|MORF4L2,MORF4L1,MORF4L2,0,0.10985268803219272,1.3267429153769752,0.7920857546579201
MPC1|MPC1L,MPC1,MPC1L,0,,,
MRPL41|PLEK2,MRPL41,PLEK2,0,,,
MRPL55|QSOX1,MRPL55,QSOX1,0,-0.228987243331081,-2.6825003594820953,-1.1747969702817587
MRPL55|RUNX1,MRPL55,RUNX1,0,-0.24263665346206453,-1.9045627372388283,-0.8649495811634315
MRPL55|SOX9,MRPL55,SOX9,0,-0.08448887918412673,-1.1549233765234994,-0.41009024013733375
MRPL55|TGFBR2,MRPL55,TGFBR2,0,-0.2196205212685789,-1.9257102615676158,-0.7832205953685596
MTG2|RUNX1,MTG2,RUNX1,0,-0.28663032765557317,-2.9677366852387124,-1.0704834858909835
MTHFD1|TBC1D9,MTHFD1,TBC1D9,0,0.28602687037882074,3.7880367390783607,2.0000708770578206
MTMR3|MTMR4,MTMR3,MTMR4,1,-0.11955878630300482,3.510356255633785,1.131294212214835
MTX1|TOMM22,MTX1,TOMM22,0,0.1403705765868557,0.7836280189350636,0.4487160151187924
MYBPH|MYBPHL,MYBPH,MYBPHL,0,-0.1882309899944437,-2.430526698784288,-1.0521491692794656
MYC|MYCN,MYC,MYCN,0,0.1439167107036292,2.823284183091401,0.5562737074041338
MYD88|TIRAP,MYD88,TIRAP,0,-0.08484496329906377,-2.1258621850688595,-0.9686465063919701
MYH7|MYL7,MYH7,MYL7,0,0.0470794676614472,-1.6160898963869568,-0.5343583012662836
NAA10|NAA11,NAA10,NAA11,1,0.43397200022609594,0.987125735570124,0.6408161009441222
NAA15|NAA16,NAA15,NAA16,1,0.2468959868604934,-2.9535509580198487,1.1439536377525152
NAPA|NAPB,NAPA,NAPB,0,,,
NAT8L|TTC7A,NAT8L,TTC7A,0,-0.4636994956290993,-1.4191219552601073,-0.7396121888125889
NBEAL1|NBEAL2,NBEAL1,NBEAL2,0,-0.08285527051729302,-1.4054411655860994,-0.536477898962115
NCBP2|NCBP2L,NCBP2,NCBP2L,1,,,
NCK1|NCK2,NCK1,NCK2,0,-0.1907223611524722,-2.05354594289083,-1.051764228721789
NCKAP1|NCKAP1L,NCKAP1,NCKAP1L,1,0.29395721078133813,3.237439284228438,-1.1356041732532787
NDE1|NDEL1,NDE1,NDEL1,1,0.31298115258602766,2.21439809271147,0.7823406300464458
NDUFB4|NDUFC1,NDUFB4,NDUFC1,0,,,
NETO1|NETO2,NETO1,NETO2,0,0.08838639792659697,1.4913154036003171,0.845684125726866
NKAP|NKAPL,NKAP,NKAPL,1,0.08438230781907019,0.7544675708107089,0.38609154737205253
NMT1|NMT2,NMT1,NMT2,1,-0.20033758838581972,-3.745794482421078,-0.7369814331949572
NR5A1|NR5A2,NR5A1,NR5A2,0,0.04326879202109817,1.177047918172555,0.42498086567297644
NRBP1|NRBP2,NRBP1,NRBP2,1,-0.09394391913066427,-1.4707092333588174,-0.6276760940796516
NUMB|NUMBL,NUMB,NUMBL,0,0.14771523137508025,-1.525684921776819,0.735487029944968
NXT1|NXT2,NXT1,NXT2,1,,,
OSMR|PCGF1,OSMR,PCGF1,0,0.14616602823698413,4.990457756875004,1.0406471322185749
PACS1|PACS2,PACS1,PACS2,0,0.09690558797638335,-1.0518279874595273,0.4952341295009508
PAPSS1|PAPSS2,PAPSS1,PAPSS2,1,0.12574859490187093,2.8797926743231437,1.222176058524482
PCBD1|PCBD2,PCBD1,PCBD2,0,,,
PCGF1|PSMB8,PCGF1,PSMB8,0,-0.2661599399104595,-1.1496608384515703,-0.8456633841234197
PCGF1|SAMD9,PCGF1,SAMD9,0,0.30689194990007745,-2.83430994970433,-0.8904032956508303
PCGF1|TIMP2,PCGF1,TIMP2,0,,,
PCGF1|UBASH3B,PCGF1,UBASH3B,0,0.1028978975750891,1.7939590401985328,0.6011028813414999
PDS5A|PDS5B,PDS5A,PDS5B,1,-0.7505860854085573,-3.079113291481901,-1.160162321212678
PEF1|SRI,PEF1,SRI,0,,,
PFAS|SMARCA1,PFAS,SMARCA1,0,-0.37583176860086775,-2.6750858436096796,0.9036373618616131
PIP4P1|PIP4P2,PIP4P1,PIP4P2,0,-0.00048425260408758997,-0.005940923402869572,-0.003476118028488806
PLCG1|PLCG2,PLCG1,PLCG2,0,0.1810820595237279,2.8410999367125087,1.3475595714200495
PLD1|PLD2,PLD1,PLD2,0,0.09746906689468837,-2.4794805337685957,0.8669361130622059
PLXDC1|PLXDC2,PLXDC1,PLXDC2,0,-0.07177418510632969,-2.1554590948517323,-0.6804481261944716
PMM1|PMM2,PMM1,PMM2,1,-0.07857054783004924,-0.797041686317072,-0.4959292951311601
PMPCB|UQCRC1,PMPCB,UQCRC1,0,-0.384377887048591,-2.5309173909467164,-1.3217393257196401
PPP2CA|PPP2CB,PPP2CA,PPP2CB,1,0.19450387454797113,2.04194583758751,0.5961488799252201
PPP2CA|PPP3CC,PPP2CA,PPP3CC,0,,,
PPP2CA|PPP4C,PPP2CA,PPP4C,0,0.38027694819677005,1.5948348930166307,0.8665918375656755
PPP2R1A|PPP2R1B,PPP2R1A,PPP2R1B,1,-0.43864980455796854,-1.421881295610712,-0.9804017867034711
PPP3CA|PPP3R1,PPP3CA,PPP3R1,0,0.06307991808015047,0.9377323552414936,0.4263271045743458
PRKAB1|PRKAB2,PRKAB1,PRKAB2,0,-0.02515789801249798,-0.353740205471742,-0.1680048993813976
PRPF8|SF3B2,PRPF8,SF3B2,0,0.33830890703084515,1.4384706571094832,0.6919390790418501
PRPF8|SF3B3,PRPF8,SF3B3,0,-0.799072656658347,-3.380275599993045,-2.078448520899572
PSEN1|PSEN2,PSEN1,PSEN2,0,-0.07869260909066775,-0.6652854826186785,-0.4510292816251887
PSMB6|PSMB9,PSMB6,PSMB9,0,,,
PSMB8|TUFM,PSMB8,TUFM,0,-0.29273790636827696,-1.761164514740652,-0.9535404000627304
PTCH1|PTCH2,PTCH1,PTCH2,0,0.10168850391203181,1.2641648054041141,0.618692320634392
PTPN14|PTPN21,PTPN14,PTPN21,0,0.16797076537439912,3.910041461755518,1.0307717156606235
PTPN11|PTPN6,PTPN6,PTPN11,1,-0.10708880401013543,-0.7361697278706536,-0.5116136576688969
PUM1|PUM2,PUM1,PUM2,1,-0.14181222487522183,-2.855468246625487,-0.639021040758911
PXDN|PXDNL,PXDN,PXDNL,0,-0.11986110309802603,-2.732010213466229,1.5633973931691583
RAD17|RFC2,RAD17,RFC2,0,-0.062130660636478874,-0.4145635180766815,-0.16903448354042894
