pair,gene_a,gene_b,hit_union,hit_h1299,hit_mdamb231,dd_min3,abs_dd,max_abs_mean_chronos,min_abs_mean_chronos,mrna_coexpression
RGS16_RGS3,RGS16,RGS3,0,0,0,0.0447906657879279,0.0447906657879279,0.030218919053682052,0.008569019873535708,-0.18596690033006705
FPR3_GPR152,FPR3,GPR152,0,0,0,0.0636892111911268,0.0636892111911268,0.07125336158741027,0.04309648341624878,-0.03689453301534688
TBX3_TBX4,TBX3,TBX4,0,0,0,0.1790379968864481,0.1790379968864481,0.11002424049676365,0.08092728015976829,0.11596346684139522
SERPINA12_SERPINA3,SERPINA12,SERPINA3,0,0,0,-0.0740917345377244,0.0740917345377244,0.0210959141746515,0.007423255222132514,0.05097861274208154
CHRNA2_CHRNB3,CHRNA2,CHRNB3,0,0,0,0.0625354381548789,0.0625354381548789,0.029139794828512526,0.004282154888933573,-0.0065498222950900135
ZNF624_ZNF665,ZNF624,ZNF665,0,0,0,0.1229854877649065,0.1229854877649065,0.02724188547962308,0.025012486956893308,0.17147029184056228
PNMA2_PNMA6E,PNMA2,PNMA6E,0,0,0,0.0750490897660279,0.0750490897660279,0.1107917177512494,0.0666141029977077,0.04227546560440518
ACTL7B_ACTL9,ACTL7B,ACTL9,0,0,0,0.1500961782703856,0.1500961782703856,0.07220265006213827,0.029960809631168733,0.008742945855111211
ANP32A_ANP32B,ANP32A,ANP32B,0,0,0,0.0999315678375214,0.0999315678375214,0.11274656404835517,0.03616487273995632,0.5367401829897489
MTMR1_SBF2,MTMR1,SBF2,0,0,0,-0.0734375954340321,0.0734375954340321,0.07322389014590691,0.041055653609250106,0.2114159553730597
OTUD7B_TNFAIP3,OTUD7B,TNFAIP3,0,0,0,-0.1202707419475962,0.1202707419475962,0.041603476999704084,0.03497650309300231,-0.10036387858912485
ABCA13_ABCA2,ABCA13,ABCA2,0,0,0,0.1498662950054253,0.1498662950054253,0.019016755163777346,0.010132206270333738,0.09208265067941307
DIRAS1_RERG,DIRAS1,RERG,0,0,0,0.0615100424746866,0.0615100424746866,0.08632292641733895,0.01901738757814411,0.053015827796475644
OR13C4_OR13J1,OR13C4,OR13J1,0,0,0,-0.1650831668496721,0.1650831668496721,0.09748315287056036,0.03291870911050235,0.03733826941095471
CLDN19_CLDN2,CLDN19,CLDN2,0,0,0,0.1403249882172569,0.1403249882172569,0.21845777380600526,0.050323643860061,-0.028659462514058515
TKTL1_TKTL2,TKTL1,TKTL2,0,0,0,0.1350727907793863,0.1350727907793863,0.08702463814973357,0.05931804943331314,0.08006553415243427
ZNF444_ZSCAN25,ZNF444,ZSCAN25,0,0,0,0.1073650420445518,0.1073650420445518,0.11605660403689957,0.007274221180232688,0.4568434845425141
UBE2E1_UBE2W,UBE2E1,UBE2W,0,0,0,0.1185774522721633,0.1185774522721633,0.017477489539437938,0.007236575899597677,0.14178843507708214
USP22_USP44,USP22,USP44,0,0,0,0.1130251978024479,0.1130251978024479,0.12182106479043826,0.08864678252746142,0.15362592133310293
ZNF585B_ZNF594,ZNF585B,ZNF594,0,0,0,0.1454334198480651,0.1454334198480651,0.039595538127520064,0.015852690506093094,0.3652662389047883
TLR7_TLR9,TLR7,TLR9,0,0,0,0.1644150345076384,0.1644150345076384,0.11517130331722308,0.06146544246950493,0.4792530872556627
ADRB1_DRD2,ADRB1,DRD2,0,0,0,0.1416770495583416,0.1416770495583416,0.10294406644284029,0.027774418469245995,0.030664418596089277
CEACAM4_PSG4,CEACAM4,PSG4,0,0,0,0.0566830224339599,0.0566830224339599,0.1593046912013583,0.01069401391738475,-0.06916170203651939
B3GALT2_B3GALT5,B3GALT2,B3GALT5,0,0,0,0.0416844579743523,0.0416844579743523,0.19079708101313275,0.0593101018899153,-0.0005198931971800726
MID2_TRIM9,MID2,TRIM9,0,0,0,-0.1262021962173525,0.1262021962173525,0.20716051786122677,0.07369181165702947,-0.05591989641630692
ZNF101_ZNF823,ZNF101,ZNF823,0,0,0,-0.0436993069208396,0.0436993069208396,0.049318927551944856,0.015296894146671468,0.25358396945818046
ZNF418_ZNF792,ZNF418,ZNF792,0,0,0,0.146204147889476,0.146204147889476,0.09120726519277024,0.018623942897130985,0.04790587546580802
DCLK3_MAPKAPK2,DCLK3,MAPKAPK2,0,0,0,-0.0979970800844697,0.0979970800844697,0.06801861145701002,0.026040868187111665,-0.01189318554595692
